"filename", "language", "JSON with Comments", "CSS", "JavaScript", "SVG", "TypeScript", "JSON", "Markdown", "JavaScript React", "HTML", "comment", "blank", "total"
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/FruitJuice.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Glass.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/objects/Icons.js", "JavaScript", 0, 0, 229, 0, 0, 0, 0, 0, 0, 0, 9, 238
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Jar.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Kettle.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Knife.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/MedicineContainer.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Microwave.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/MokaPot.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Mug.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/NotFound.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Pan.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/media/kian/Local Disk/HAKEE/my_activity/src/icons/Peach.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
